_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
44,ISP BLOOMINGTON 33,BLOOMINGTON,2022-01-25T00:00:00,4:58 PM,2,,0,0,0,"","","",W STATE RD 45,INDUSTRIAL BLVD,"",0,"",39.1436134,-86.58030143,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,WSTATERD45INDUSTRIALBLVD,""
45,ISP BLOOMINGTON 33,BLOOMINGTON,2022-05-19T00:00:00,6:00 PM,2,,0,0,0,"","","",W STATE RD 45,INDUSTRIAL BLVD,"",0,"",39.14356349,-86.58030718,STATE ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WATER (STANDING OR MOVING),"",FOUR-WAY INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,WSTATERD45INDUSTRIALBLVD,""
46,ISP BLOOMINGTON 33,BLOOMINGTON,2022-04-12T00:00:00,1:15 PM,3,,0,0,0,"","","",SOUTH LIBERTY DRIVE,W STATE RD 45,"",0,"",39.14510805,-86.5778326,"","",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WSTATERD45SOUTHLIBERTYDRIVE,""
47,MONROE SD,BLOOMINGTON,2022-02-06T00:00:00,1:51 AM,2,,3,0,0,"","","",S LIBERTY DR,"","",0,"",39.15805145,-86.57692725,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SLIBERTYDR,""
48,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-02-08T00:00:00,4:05 AM,4,,0,0,0,"","","",E 3RD ST,S ARBUTUS DR,"",0,"",39.16426255,-86.51160426,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SARBUTUSDRE3RDST,""
49,BLOOMINGTON PD,BLOOMINGTON,2022-04-10T00:00:00,3:05 AM,2,,0,0,0,"","","",300 N WALNUT,"","",0,"",0,0,PRIVATE DRIVE,"",URBAN,N,N,N,"",DARK (LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,"",CONCRETE,UNSAFE SPEED,LEFT TURN,300NWALNUT,""
50,BLOOMINGTON PD,BLOOMINGTON,2022-05-18T00:00:00,4:07 PM,2,,0,0,0,"","","",W 3RD ST,S ROGERS ST,"",0,"",39.16463614,-86.53865362,LOCAL/CITY ROAD,"",URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",FOUR-WAY INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,W3RDSTSROGERSST,""
51,MONROE SD,BLOOMINGTON,2022-04-04T00:00:00,9:59 AM,1,,0,0,1,"","","",W ARLINGTON RD,S STONNY BROOK,"",0,"",,,"","",RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",NO JUNCTION INVOLVED,"",ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,WARLINGTONRDSSTONNYBROOK,""
52,MONROE SD,ELLETTSVILLE,2022-04-22T00:00:00,6:35 AM,3,,3,0,0,"","","",STATE RD 46,W CHAFIN CHAPEL RD,"",0,"",39.2595912,-86.65757311,STATE ROAD,"",RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,"",ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WCHAFINCHAPELRDSTATERD46,""
53,BLOOMINGTON PD,BLOOMINGTON,2022-04-12T00:00:00,12:23 PM,2,,0,0,0,"","","",S. WALNUT ST,SOUTH DR,"",0,"",39.1419,-86.531138,LOCAL/CITY ROAD,"",URBAN,Y,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,"",ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,SOUTHDRS.WALNUTST,""
