Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/9/2019,11:40 AM,3,0,1,0,0,,,,SR 45/46,N RANGE RD,,,,39.171504,-86.495312,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,RANGERDSR45W,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/9/2019,7:30 AM,2,0,0,0,0,,,,SR 46,N LAKEVIEW DR,,,,39.221152,-86.6056,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,LAKEVIEWDRSR46W,STOP SIGN
ISP BLOOMINGTON 33,ELLETTSVILLE,1/9/2019,12:55 PM,2,0,0,0,0,,,,SR 46,W CHAFIN CHAPEL RD,,50,E,39.25962,-86.65755433,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE SPEED,REAR END,CHAFINCHAPELRDSR46,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/9/2019,9:00 PM,1,0,1,0,0,,,,W 3RD,S LANDMARK AVE,,,,39.16443,-86.55631,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,OTHER - EXPLAIN IN NARRATIVE,SLANDMARKAVEW3RDST,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,1/9/2019,8:45 AM,1,0,0,0,0,,,,I-69 S,,,100,N,0,0,INTERSTATE,N,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,NON-COLLISION,I69125,LANE CONTROL
MONROE SD,BLOOMINGTON,1/9/2019,6:02 PM,1,0,0,0,1,,,,N BOTTOM,W SIMPSON CHAPEL RD,,900,N,39.26976,-86.5476,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,NBOTTOMRDRDWSIMPSONCHAPELRDRD,NONE
BLOOMINGTON PD,BLOOMINGTON,1/9/2019,10:55 AM,2,0,1,0,0,,,,S COLLEGE,W DODDS ST,,,,39.157315,-86.533785,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,COLLEGEAVEDODDSST,NONE
MONROE SD,BLOOMINGTON,1/9/2019,4:10 PM,2,0,0,0,0,,,,S CURRY,W GIFFORD RD,,,,39.156896,-86.582704,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,SOUTHCURRYPIKEWESTGIFFORDRD,RR CROSSING FLASHING LIGHTS AND GATES
MONROE SD,BLOOMINGTON,1/9/2019,6:15 PM,2,0,0,0,0,,,,S FAIRFAX,E LINDA ST,,50,W,39.09701,-86.51704067,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,EASTLINDALNSOUTHFAIRFAXRD,NONE
BLOOMINGTON PD,BLOOMINGTON,1/9/2019,11:15 PM,1,0,1,0,0,501,,,S MULLER,,,,,39.16182463,-86.56729524,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,OTHER - EXPLAIN IN NARRATIVE,WMULLERPKWY,NONE
BLOOMINGTON PD,BLOOMINGTON,1/9/2019,8:40 PM,2,0,1,0,0,,,,W TAPP,S LEONARD SPRINGS RD,,,,0,0,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SLEONARDSPRINGSRDWTAPPRD,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/10/2019,10:02 AM,2,0,1,0,0,,,,KINGSTON DR S,SR 46,,,,39.16424,-86.492944,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTKINGSTONDR,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/10/2019,9:30 AM,2,0,1,0,0,,,,N DUNN,E KIRKWOOD AVE,,,,39.16664,-86.528192,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,EKIRKWOODAVENDUNNST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/10/2019,8:19 PM,2,0,1,0,0,,,,W 2ND,S PATTERSON DR,,,,39.1606,-86.548355,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,HEAD ON BETWEEN TWO MOTOR VEHICLES,SPATTERSONDRW2NDST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,1/10/2019,7:30 PM,1,0,0,0,1,,,,SR 46,N CURRY PIKE,,500,W,39.19444812,-86.57173599,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,CURRYPIKESR46W,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/10/2019,10:05 PM,3,0,0,0,0,,,,E 11TH,N FEE LN,,,,39.171584,-86.518688,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,E11THSTFEELN,NONE
BLOOMINGTON PD,BLOOMINGTON,1/10/2019,12:30 AM,2,0,0,0,0,,,,E 2ND,S MITCHELL ST,,,,39.16102,-86.51418,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,MITCHELLSTSECONDST,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/10/2019,2:20 PM,2,0,0,0,0,,,,S FACULTY,E 3RD ST,,150,S,39.14840347,-86.520865,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,BACKING CRASH,FACULTYLNTHIRDST,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/10/2019,11:00 AM,1,0,1,0,0,,,,S HIGH,E COVENANTER DR,,100,N,39.15451466,-86.508288,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,ICE,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,COVENANTERDRHIGHST,NONE
MONROE SD,BLOOMINGTON,1/10/2019,4:16 PM,2,0,0,0,0,,,,S ROGERS,W GORDON PIKE,,,,39.121648,-86.539088,LOCAL/CITY ROAD,N,RURAL,Y,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,SOUTHROGERSSTWESTGORDONPIKE,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,1/10/2019,1:29 PM,2,0,0,0,0,,,,S WALNUT,E DILLMAN RD,,,,39.092944,-86.544,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EDILLMANRDSOLDSTATE37RD,STOP SIGN
STINESVILLE PD,ELLETTSVILLE,1/10/2019,3:30 PM,2,0,0,0,0,,,,SR 46,N LOVE LN,,,,39.21984,-86.601104,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,LOVELNNLOVELN,NONE
MONROE SD,BLOOMINGTON,1/10/2019,1:47 PM,1,0,0,0,0,,,,W WOODYARD,,,1500,S,39.201488,-86.601968,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,WWOODYARDRDWALCOTTRD,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/11/2019,11:15 PM,2,0,0,0,0,,,,SR 46,E 3RD ST,,,,39.16424,-86.473296,STATE ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,3RDSTSR46,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/11/2019,11:00 AM,2,0,0,0,0,,,,N JORDAN,E 10TH ST,,,,39.171385,-86.51568,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,JORDANAVETENTHST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,1/12/2019,5:47 AM,1,0,1,0,0,,,,SR 37,N OLD SR 37,,,,39.085632,-86.542304,STATE ROAD,N,RURAL,N,Y,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,NOLDSR37RDSR37N,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,1/12/2019,6:25 AM,2,0,0,0,0,,,,SR 46,N CURRY PIKE,,,,39.19444812,-86.57177928,STATE ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RIGHT ANGLE,CURRYPIKESR46,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/12/2019,4:00 AM,2,0,0,0,0,,,,SR 45/46,N MILO B SAMPSON LN,,500,W,39.18622,-86.52210673,STATE ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RIGHT ANGLE,NMILOBSAMPSONLNSR46,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/12/2019,9:13 PM,2,0,0,0,0,,,,E ATWATER,E EASTSIDE DR,,,,39.16308,-86.51321,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,SLEET/HAIL/FREEZING RAIN,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,BACKING CRASH,ATWATERAVEEASTSIDEDR,LANE CONTROL
MONROE SD,BLOOMINGTON,1/12/2019,11:00 AM,1,0,0,0,0,,,,E BETHEL,N BAUGH RD,,2000,E,39.21193,-86.49621299,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/HILLCREST,ASPHALT,UNSAFE SPEED,RAN OFF ROAD,BAUGHRDBETHELLN,NONE
BLOOMINGTON PD,BLOOMINGTON,1/12/2019,12:00 AM,2,0,0,0,0,452,,,E LAURELWOOD,S LAURELWOOD DR,,200,S,39.11857456,-86.52283,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,IMPROPER TURNING,LEFT/RIGHT TURN,452ELAURELWOODDRWYLIEFARMDR,NONE
MONROE SD,BLOOMINGTON,1/12/2019,9:20 AM,1,0,0,0,0,,,,E MONROE DAM,S STRAIN RIDGE RD,,300,W,39.01933756,-86.52348961,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,MONROEDAMRDSTRAINRIDGERD,NONE
MONROE SD,BLOOMINGTON,1/12/2019,5:31 AM,1,0,0,0,0,,,,E ROBINSON,N MILLER RD,,1000,N,39.25107994,-86.47343296,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,MILLERRDROBINSONRD,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/12/2019,10:08 AM,1,0,0,0,0,,,,I-69 N,,,,,0,0,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,SNOW,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69130,LANE CONTROL
ISP BLOOMINGTON 33,BLOOMINGTON,1/12/2019,1:55 PM,2,1,0,0,0,,,,I-69 S,,,0,S,0,0,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,SAME DIRECTION SIDESWIPE,I69124.0,LANE CONTROL
MONROE SD,BLOOMINGTON,1/12/2019,6:59 AM,2,0,2,0,0,,,,I-69 S,,,1000,S,41.09022561,-85.21952416,INTERSTATE,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69S106.5,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/12/2019,1:30 AM,1,0,0,0,0,501,,,N JORDAN,,,,,39.17013209,-86.5158848,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),BLOWING SAND/SOIL/SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OTHER - EXPLAIN IN NARRATIVE,NJORDANAVE,NONE
BLOOMINGTON PD,BLOOMINGTON,1/12/2019,1:00 PM,2,0,0,0,0,,,,N VALLEYVIEW,BRIARCLIFF CT,,120,N,39.19499483,-86.5465062,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OPPOSITE DIRECTION SIDESWIPE,VALLEYVIEWDRWINDINGWAY,NONE
BLOOMINGTON PD,BLOOMINGTON,1/12/2019,4:15 PM,1,0,2,0,0,,,,S LEONARD SPRINGS,W MAYBURY MALL,,60,S,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,SNOW/SLUSH,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SLEONARDSPRINGSRDWMAYBURYMALL,NONE
MONROE SD,BLOOMINGTON,1/12/2019,1:45 AM,1,0,0,0,0,5055,,,S OLD SR 37,,,,,39.137088,-86.53056,UNKNOWN,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,SOLDSR37RD,NONE
MONROE SD,BLOOMINGTON,1/12/2019,6:56 AM,2,0,0,0,0,,,,S STRAIN RIDGE,E MONROE DAM RD,,500,N,39.01962202,-86.52193951,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,OPPOSITE DIRECTION SIDESWIPE,MONROEDAMRDSTRAINRIDGERD,NONE
BLOOMINGTON PD,BLOOMINGTON,1/12/2019,1:55 AM,2,0,0,0,0,,HW37,N,W 3RD,,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,W3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/12/2019,8:40 AM,1,0,2,0,0,,,,W OLD SR 37,N HILLVIEW DR,,100,W,39.207984,-86.529568,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,NHILLVIEWDRNOLDSTATEROAD37RD,NONE
ELLETTSVILLE PD,ELLETTSVILLE,1/12/2019,12:54 AM,1,0,0,0,0,,,,W PROMINENCE,N THOMAS RD,,,,39.2217,-86.63047,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,ROADWAY SURFACE CONDITION,OTHER - EXPLAIN IN NARRATIVE,PROMINENCEPTTHOMASRD,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/13/2019,10:14 AM,1,0,0,0,0,,,,W TAPP,I-69,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,SNOW,SNOW/SLUSH,,INTERCHANGE,CURVE/LEVEL,CONCRETE,RAN OFF ROAD RIGHT,RAN OFF ROAD,I69TAPPRD,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/13/2019,6:06 PM,2,0,0,0,0,,,,SR 45,N PETE ELLIS DR,,400,E,39.171504,-86.495312,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E10THSTNPETEELLISDR,NONE
BLOOMINGTON PD,BLOOMINGTON,1/13/2019,2:08 PM,2,0,0,0,0,,,,SR 48,S GATES DR,,,,39.164785,-86.576035,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,SGATESDRW3RDST,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/13/2019,8:24 AM,2,0,0,0,0,,,,S WALNUT,E WINSLOW RD,,,,39.136144,-86.528688,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EWINSLOWRDSWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/13/2019,3:00 AM,2,0,0,0,0,,,,E SOUTHERN,,,500,W,39.14984,-86.533392,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),SNOW,SNOW/SLUSH,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,ESOUTHERNDRWALNUTST,NONE
MONROE SD,BLOOMINGTON,1/13/2019,7:51 AM,1,0,0,0,0,,,,I-69 N,,,100,N,41.28117292,-85.0869413,INTERSTATE,N,RURAL,Y,Y,N,,DAWN/DUSK,SNOW,ICE,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,I69N123,NONE
MONROE SD,BLOOMINGTON,1/13/2019,8:08 AM,1,0,0,0,0,,,,I-69 N,,,300,N,41.28117292,-85.0869413,INTERSTATE,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,ICE,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,ROADWAY SURFACE CONDITION,RAN OFF ROAD,I69N123,NONE
MONROE SD,BLOOMINGTON,1/13/2019,11:45 AM,1,0,0,0,0,3425,,,S ROGERS,W SAN JUAN DR,,,,39.12614,-86.53824,COUNTY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SOUTHROGERSST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/13/2019,12:30 AM,1,0,1,0,0,,,,S WALNUT,E 1ST ST,,,,39.17784,-86.533408,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,E1STSTSWALNUTST,TRAFFIC CONTROL SIGNAL
MONROE SD,BLOOMINGTON,1/13/2019,9:52 AM,1,0,0,0,0,,,,W FULLERTON,W REDDY WAY,,,,0,0,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,ICE,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,WFULLERTONPIKEWREDDYWAY,NONE
BLOOMINGTON PD,BLOOMINGTON,1/14/2019,11:50 AM,2,0,0,0,0,,,,W 3RD,I-69,,,,39.164752,-86.573104,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,37HWY3RDST,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/14/2019,5:40 PM,2,0,0,0,0,,,,SR 45/46,E 10TH ST,,240,N,39.21156264,-86.52138,STATE ROAD,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR45SR46,NONE
BLOOMINGTON PD,BLOOMINGTON,1/14/2019,4:06 PM,3,0,1,0,0,,,,SR 45,N PETE ELLIS DR,,100,W,39.171504,-86.495312,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E10THSTNPETEELLISDR,TRAFFIC CONTROL SIGNAL
ELLETTSVILLE PD,ELLETTSVILLE,1/14/2019,9:01 AM,2,0,0,0,0,,,,SR 46,N UNION VALLEY RD,,,,39.215152,-86.5928,STATE ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,LOOSE MATERIAL ON ROAD,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SR46WUNIONVALLEYRD,TRAFFIC CONTROL SIGNAL
ISP BLOOMINGTON 33,BLOOMINGTON,1/14/2019,8:20 AM,2,1,0,0,0,,,,SR 46,I-69 S,Y,,,39.19444812,-86.57195242,STATE ROAD,Y,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,UNSAFE BACKING,BACKING CRASH,CURRYPIKESR46,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/14/2019,1:55 PM,1,0,0,0,0,,,,E 3RD,S JEFFERSON ST,,,,39.164304,-86.506992,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,EAST3RDSTSOUTHJEFFERSONST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/14/2019,8:30 AM,2,0,0,0,0,105,,,E WILSON,S WASHINGTON ST,,40,W,39.15159,-86.53282653,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,,,105EWILSONST1400SWASHINGTONST,NONE
MONROE SD,BLOOMINGTON,1/14/2019,7:47 AM,2,1,1,0,0,,,,S CURRY,W DOYLE AVE,,50,N,39.158352,-86.582752,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,RIGHT TURN,DOYLEAVESOUTHCURRYPIKE,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/15/2019,3:10 PM,2,0,0,0,0,,,,E 10TH,SR 45/46,,100,S,39.16120362,-86.502535,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,RAILROAD CROSSINGS,STRAIGHT/GRADE,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,REAR END,10THST4546BYP,RR CROSSING CROSSBUCKS WITH YIELD SIGN
