_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
2018,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W VERNAL PIKE,N OARD RD,,,,39.181344,-86.637104,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,Y-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,NOARDRDWVERNALPIKE,NONE,2021-05-27 19:21:00
2019,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,S WALNUT ST,SR 37,,,,39.085632,-86.542304,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,SOLDSTATEROAD37RDSR37S,TRAFFIC CONTROL SIGNAL,2021-05-27 21:03:00
2020,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,310,,,W 8TH ST,VALHALLA MEMORY GARDENS,,,,39.16708441,-86.564992,UNKNOWN,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,Y-INTERSECTION,CURVE/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,REAR END,NJOHNSONAVE,NONE,2021-05-27 23:40:00
2021,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,3901,,,ENTRANCE TO BLOOMINGTON HIGH SCHOOL NORTH,N KINSER PIKE,,,,39.20304,-86.547392,UNKNOWN,N,URBAN,Y,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,CURVE/GRADE,ASPHALT,IMPROPER TURNING,LEFT TURN,NKINSERPIKE,STOP SIGN,2021-05-26 07:47:00
2022,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,3,0.0,0.0,0,0,,,,E 10TH ST,MID-BLOCK CROSSWALK,,374.0,E,39.171606,-86.51903435,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,REAR END,FEELNTENTHST,NONE,2021-05-26 09:00:00
2023,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,SR 45,S LEONARD SPRINGS RD,,250.0,W,39.1415451,-86.58323143,STATE ROAD,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SR45approx250ftwestofLeonardSpringsRd,,2021-05-26 12:40:00
2024,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 3RD ST (N),S PATTERSON DR,,300.0,W,39.1644,-86.55204403,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SOUTHPATTERSONDRWEST3RDST,LANE CONTROL,2021-05-26 14:01:00
2025,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,N PETE ELLIS DR,E LONGVIEW AVE,,,,39.166944,-86.495056,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EASTLONGVIEWDRNORTHPETEELLISDR,STOP SIGN,2021-05-26 14:40:00
2026,BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0,0,,,,W 11TH ST,N MORTON ST,,,,39.173216,-86.536,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,NMORTONSTW11THST,STOP SIGN,2021-05-26 16:08:00
2027,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,,,,S CURRY PIKE,W WOODLYN DR,,20.0,S,39.145856,-86.582592,COUNTY ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SCURRYPIKEWWOODLYNDR,TRAFFIC CONTROL SIGNAL,2021-05-26 16:31:00
2028,ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0,0,,,,S VICTOR PIKE,SR 37,,0.0,,39.10553454,-86.55140824,STATE ROAD,,RURAL,N,Y,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,StateRd37SVictorPike,,2021-05-26 19:18:00
